OBJECTID,TRACT,SUM_POPULATION,ShapeSTArea,ShapeSTLength
279,48029181808,1478,40947454.5859375,29336.2032501815
280,48029181809,6362,26041245.0390625,23997.8046756752
281,48029181811,4034,40783501.578125,35555.0004992831
282,48029181813,6011,34786103.6796875,23996.6345186584
283,48029181814,3409,39561288.8085938,27592.4773199409
284,48029181815,2973,34093909.5273438,27628.2159900107
285,48029181816,4237,26801819.2832031,25146.325946033
286,48029181817,3025,22476431.0703125,22282.8367561628
287,48029181818,4701,32603946.9628906,24061.540517134
288,48029181819,5180,39816650.7109375,31636.215927044
289,48029181820,7202,77401481.0488281,41025.8933534489
290,48029181821,3525,13452473.3789062,18320.0126820213
291,48029181822,4917,40561543.2773438,32540.9982786213
292,48029181823,2495,21873820.7988281,21449.6737534431
293,48029181824,5060,28690744.0332031,29600.7626991037
294,48029181825,3042,32128394.9238281,25661.2222704751
295,48029181826,6043,31320733.7265625,28595.0758986981
296,48029181901,3452,85383190.7910156,41939.4103765476
297,48029181902,5999,303742439.853516,77041.892204235
298,48029182001,4818,47216974.6386719,34897.7649594842
299,48029182002,8670,280611114.482422,81601.464565862
300,48029182003,3254,84184010.6425781,40811.6388659113
301,48029182101,6601,271185469.685547,95542.6069855064
302,48029182102,6641,231983808.867188,77195.5117592187
303,48029182103,2238,1522348025.51172,177553.997799602
304,48029182105,2200,402618934.183594,163668.148684082
305,48029182106,5286,309072547.458984,152816.287670693
306,48029190100,3755,17756627.4550781,17648.150462296
307,48029190200,4375,24126614.4238281,25015.4128158708
308,48029190400,4021,22441653.671875,20335.8107289564
309,48029190501,2878,12231989.5917969,15806.9979276438
310,48029190503,3459,13461599.9667969,15318.547032542
311,48029190504,2881,12543154.6523438,14871.4227847897
312,48029190601,3768,12400751.7148438,15202.7046998441
313,48029190603,2946,13839700.5566406,15658.495939177
314,48029190604,4438,17523202.96875,19303.9877512211
315,48029190700,3060,15723111.5898438,18805.12555873
316,48029190800,2237,17282793.2597656,23538.9158446132
317,48029190901,5322,47983153.9960938,34348.6280195234
318,48029190902,3783,52058193.3085938,47971.0491973041
319,48029191003,7762,27614853.9433594,24138.0808113575
320,48029191004,3730,17781342.2050781,19515.1137877882
321,48029191005,2272,9393439.99804688,14160.3729429403
322,48029191006,6674,24133918.4414062,21120.4750676836
323,48029191101,1628,43776269.71875,29133.0101244242
324,48029191102,2488,25084391.0117188,21893.9835906657
325,48029191201,3143,17818728.2089844,18705.7830703135
