block_group,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_006E,B03002_002E_O,B03002_012E
480291607011,1538.0,10.0,10.0,0.0,0.0,0.0,1528.0
480291607012,1319.0,23.0,23.0,0.0,0.0,0.0,1296.0
480291718011,1244.0,366.0,310.0,25.0,31.0,0.0,878.0
480291718013,1351.0,335.0,239.0,38.0,0.0,58.0,1016.0
480291718014,1006.0,94.0,94.0,0.0,0.0,0.0,912.0
480291718012,2016.0,392.0,263.0,0.0,121.0,8.0,1624.0
480291802013,2243.0,220.0,157.0,54.0,0.0,9.0,2023.0
480291802012,842.0,91.0,79.0,0.0,0.0,12.0,751.0
480291802014,1261.0,187.0,187.0,0.0,0.0,0.0,1074.0
480291802011,696.0,110.0,90.0,4.0,16.0,0.0,586.0
480291812001,589.0,352.0,352.0,0.0,0.0,0.0,237.0
480291812004,1495.0,672.0,474.0,108.0,72.0,18.0,823.0
480291812002,824.0,614.0,528.0,43.0,43.0,0.0,210.0
480291812005,1123.0,404.0,360.0,0.0,44.0,0.0,719.0
480291514004,918.0,69.0,69.0,0.0,0.0,0.0,849.0
480291511003,801.0,0.0,0.0,0.0,0.0,0.0,801.0
480291511001,1014.0,533.0,485.0,39.0,0.0,9.0,481.0
480291514001,963.0,296.0,296.0,0.0,0.0,0.0,667.0
480291514002,1548.0,74.0,74.0,0.0,0.0,0.0,1474.0
480291905012,1594.0,128.0,128.0,0.0,0.0,0.0,1466.0
480291905013,1046.0,76.0,68.0,8.0,0.0,0.0,970.0
480291905011,961.0,52.0,52.0,0.0,0.0,0.0,909.0
480291908001,842.0,641.0,548.0,80.0,0.0,13.0,201.0
480291908002,1157.0,1012.0,1002.0,7.0,0.0,3.0,145.0
480291909011,1291.0,204.0,141.0,63.0,0.0,0.0,1087.0
480291909012,2428.0,540.0,294.0,0.0,173.0,73.0,1888.0
480291909021,1765.0,620.0,422.0,123.0,0.0,75.0,1145.0
480291909023,678.0,298.0,277.0,6.0,8.0,7.0,380.0
480291810012,1826.0,665.0,550.0,42.0,42.0,31.0,1161.0
480291810042,3009.0,1439.0,832.0,350.0,168.0,89.0,1570.0
480291810041,2299.0,1055.0,812.0,88.0,64.0,91.0,1244.0
480291901004,1072.0,50.0,45.0,5.0,0.0,0.0,1022.0
480291901003,1050.0,177.0,177.0,0.0,0.0,0.0,873.0
480291901002,940.0,164.0,113.0,51.0,0.0,0.0,776.0
480291719021,2151.0,832.0,774.0,20.0,0.0,38.0,1319.0
